Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years
Highlandtown,010200,24510010200,2869.0,107617.0,56058.0,169.0,5.9,1.0,2100.0,30.0,199.0,1030.0,32.0,2593.0,107.0,53.0,69.0,107.0,2332.0,1103.0,290.0,340.0,2300.0,229.0
Brooklyn,020300,24510020300,3877.0,108516.0,87413.0,359.0,9.3,1.4,2912.0,56.0,267.0,1112.0,35.5,3195.0,89.0,229.0,265.0,364.0,1687.0,793.0,1350.0,243.0,3317.0,317.0
E Monument St,040100,24510040100,4404.0,62500.0,49876.0,870.0,19.8,1.5,2863.0,65.0,219.0,1365.0,28.3,2167.0,894.0,243.0,380.0,913.0,270.0,193.0,2403.0,412.0,3887.0,105.0
Hamilton Lauraville,040200,24510040200,901.0,34375.0,16596.0,66.0,7.3,1.9,367.0,17.0,29.0,139.0,23.9,378.0,311.0,55.0,26.0,123.0,0.0,0.0,228.0,18.0,872.0,11.0
E Monument St,060200,24510060200,3241.0,72465.0,32023.0,864.0,26.7,4.5,1681.0,145.0,381.0,496.0,31.4,1621.0,1370.0,96.0,430.0,58.0,1574.0,534.0,545.0,836.0,2226.0,179.0
E Monument St,060300,24510060300,1865.0,68088.0,36889.0,321.0,17.2,3.1,1061.0,58.0,159.0,281.0,31.9,910.0,756.0,106.0,207.0,82.0,828.0,386.0,364.0,415.0,1309.0,141.0
Waverly,060400,24510060400,1376.0,55368.0,41278.0,197.0,14.3,1.1,711.0,15.0,176.0,252.0,37.0,447.0,764.0,53.0,82.0,105.0,385.0,198.0,563.0,189.0,999.0,188.0
E Monument St,070100,24510070100,2565.0,39602.0,15387.0,939.0,36.6,5.7,806.0,145.0,490.0,92.0,27.6,184.0,2168.0,15.0,363.0,0.0,857.0,305.0,444.0,886.0,1421.0,258.0
E Monument St,070200,24510070200,3028.0,32000.0,17596.0,1233.0,40.7,10.3,1000.0,313.0,585.0,43.0,29.9,92.0,2923.0,13.0,151.0,0.0,824.0,290.0,700.0,800.0,1931.0,297.0
E Monument St,070300,24510070300,856.0,29261.0,18544.0,367.0,42.9,5.4,309.0,46.0,252.0,15.0,36.8,96.0,660.0,0.0,135.0,0.0,285.0,115.0,192.0,181.0,590.0,85.0
E Monument St,070400,24510070400,1546.0,18977.0,15621.0,687.0,44.4,5.4,597.0,83.0,218.0,226.0,28.7,117.0,1291.0,9.0,29.0,129.0,120.0,45.0,710.0,357.0,997.0,192.0
Belair Rd,080101,24510080101,3976.0,63542.0,33522.0,526.0,13.2,4.0,1784.0,160.0,887.0,495.0,35.2,1266.0,2454.0,200.0,71.0,30.0,2291.0,834.0,455.0,1142.0,2544.0,290.0
