Corridor,Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Year
Highlandtown,10200,24510010200,3332.0,96171.0,43737.0,354.0,10.6,0.9,2242.0,29.0,315.0,988.0,31.3,2742.0,393.0,21.0,246.0,29.0,2575.0,1119.0,322.0,436.0,2701.0,195.0,2016
Brooklyn,20300,24510020300,3827.0,100778.0,80498.0,307.0,8.0,2.5,2901.0,95.0,248.0,1301.0,34.7,3327.0,69.0,198.0,280.0,233.0,1791.0,845.0,1205.0,191.0,3331.0,305.0,2016
E Monument St,40100,24510040100,3868.0,55277.0,44017.0,1028.0,26.6,2.7,2506.0,106.0,269.0,1145.0,28.9,2123.0,575.0,96.0,288.0,786.0,183.0,115.0,2114.0,159.0,3608.0,101.0,2016
Hamilton Lauraville,40200,24510040200,835.0,52361.0,20935.0,103.0,12.3,1.6,385.0,13.0,16.0,175.0,24.4,396.0,278.0,16.0,44.0,113.0,0.0,0.0,259.0,23.0,790.0,22.0,2016
E Monument St,60200,24510060200,3198.0,65294.0,28985.0,757.0,23.7,6.9,1672.0,221.0,403.0,537.0,30.7,1679.0,1340.0,141.0,505.0,7.0,1302.0,509.0,639.0,757.0,2240.0,201.0,2016
E Monument St,60300,24510060300,1944.0,54567.0,32482.0,438.0,22.5,4.2,1061.0,82.0,180.0,339.0,31.2,878.0,899.0,96.0,164.0,60.0,699.0,364.0,419.0,424.0,1393.0,127.0,2016
Waverly,60400,24510060400,1295.0,40806.0,32233.0,285.0,22.0,4.2,673.0,54.0,251.0,237.0,43.5,332.0,895.0,3.0,23.0,45.0,402.0,186.0,510.0,85.0,991.0,219.0,2016
E Monument St,70100,24510070100,3180.0,39141.0,13467.0,1141.0,35.9,9.4,1102.0,300.0,587.0,86.0,27.1,195.0,2828.0,6.0,383.0,0.0,720.0,279.0,523.0,1043.0,1930.0,207.0,2016
E Monument St,70200,24510070200,3023.0,27308.0,14309.0,1317.0,43.6,12.9,915.0,389.0,478.0,71.0,27.2,31.0,2877.0,11.0,196.0,7.0,802.0,283.0,739.0,852.0,1969.0,202.0,2016
E Monument St,70300,24510070300,793.0,22361.0,13975.0,425.0,53.6,6.3,257.0,50.0,153.0,31.0,34.5,99.0,694.0,0.0,79.0,0.0,327.0,118.0,158.0,249.0,470.0,74.0,2016
E Monument St,70400,24510070400,1343.0,16744.0,14771.0,637.0,47.4,4.2,428.0,56.0,149.0,95.0,29.6,89.0,1140.0,0.0,15.0,114.0,182.0,63.0,591.0,288.0,847.0,208.0,2016
Belair Rd,80101,24510080101,4080.0,59051.0,26183.0,597.0,14.6,5.6,1827.0,227.0,912.0,433.0,34.3,922.0,2886.0,222.0,52.0,32.0,2113.0,774.0,524.0,1249.0,2523.0,308.0,2016
Belair Rd,80102,24510080102,2087.0,35132.0,14965.0,579.0,27.7,5.2,817.0,108.0,533.0,71.0,33.1,29.0,2047.0,0.0,0.0,11.0,1015.0,330.0,362.0,590.0,1367.0,130.0,2016
Hampden,80200,24510080200,1541.0,27237.0,17949.0,375.0,24.3,9.8,541.0,151.0,278.0,13.0,42.0,70.0,1471.0,0.0,0.0,0.0,730.0,213.0,395.0,324.0,952.0,265.0,2016
E Monument St,80301,24510080301,1600.0,36958.0,19373.0,355.0,22.2,9.1,568.0,146.0,390.0,25.0,42.6,19.0,1558.0,6.0,0.0,11.0,561.0,232.0,343.0,378.0,976.0,246.0,2016
E Monument St,80400,24510080400,1176.0,17150.0,12061.0,602.0,51.2,11.3,322.0,133.0,275.0,44.0,35.5,157.0,1014.0,5.0,94.0,0.0,239.0,104.0,265.0,313.0,696.0,167.0,2016
