Census_tract,GEOID,Population,Median household income,Per capita income,Poverty count,Poverty rate,Unemployment rate,"# employed, age 16+",Unemployment count,# persons age 25+ graduated high school,# persons age 25+ with Bachelor's degree,Median age,Pop. white,Pop. Black,Pop. 2 or more races,Pop. Hispanic origin,Pop. Asian,Total pop. in occupied housing units by tenure,Total owner-occupied units,Total renter-occupied units,Pop. <18 years,Pop. working age,Pop. 65+ years,Labor force status by presence of computer/ internet in HH,county
010100,24510010100,3022.0,109808.0,63832.0,124.0,4.1,0.3,2163.0,10.0,222.0,955.0,33.8,2621.0,227.0,39.0,58.0,135.0,1751.0,907.0,491.0,243.0,2373.0,406.0,2621.0,510
010200,24510010200,2869.0,107617.0,56058.0,169.0,5.9,1.0,2100.0,30.0,199.0,1030.0,32.0,2593.0,107.0,53.0,69.0,107.0,2332.0,1103.0,290.0,340.0,2300.0,229.0,2537.0,510
010300,24510010300,2571.0,138686.0,68345.0,110.0,4.3,0.9,2027.0,22.0,169.0,923.0,30.0,2287.0,39.0,80.0,99.0,165.0,1492.0,704.0,375.0,252.0,2198.0,121.0,2324.0,510
010400,24510010400,2478.0,114453.0,93670.0,143.0,5.8,3.3,1790.0,81.0,231.0,712.0,33.9,2114.0,62.0,65.0,101.0,160.0,1452.0,792.0,596.0,221.0,1981.0,276.0,2246.0,510
010500,24510010500,1976.0,99167.0,54193.0,173.0,8.8,0.4,1310.0,7.0,122.0,582.0,31.4,1769.0,103.0,34.0,294.0,31.0,1192.0,507.0,281.0,303.0,1535.0,138.0,1646.0,510
020100,24510020100,1713.0,90500.0,53678.0,126.0,7.4,4.0,1241.0,68.0,92.0,447.0,31.9,1366.0,144.0,96.0,144.0,56.0,994.0,502.0,306.0,233.0,1369.0,111.0,1522.0,510
020200,24510020200,1835.0,89375.0,47316.0,282.0,15.4,1.6,1318.0,30.0,138.0,541.0,31.3,1396.0,197.0,57.0,308.0,161.0,983.0,393.0,368.0,216.0,1495.0,124.0,1633.0,510
020300,24510020300,3877.0,108516.0,87413.0,359.0,9.3,1.4,2912.0,56.0,267.0,1112.0,35.5,3195.0,89.0,229.0,265.0,364.0,1687.0,793.0,1350.0,243.0,3317.0,317.0,3634.0,510
030100,24510030100,2696.0,19741.0,17299.0,1133.0,42.0,9.2,908.0,247.0,518.0,296.0,33.4,563.0,2036.0,11.0,242.0,48.0,668.0,227.0,827.0,638.0,1810.0,248.0,2107.0,510
030200,24510030200,2327.0,77301.0,57793.0,520.0,22.3,1.8,1365.0,42.0,256.0,499.0,36.4,1272.0,765.0,48.0,160.0,199.0,689.0,377.0,784.0,320.0,1771.0,236.0,1828.0,510
040100,24510040100,4404.0,62500.0,49876.0,870.0,19.8,1.5,2863.0,65.0,219.0,1365.0,28.3,2167.0,894.0,243.0,380.0,913.0,270.0,193.0,2403.0,412.0,3887.0,105.0,4038.0,510
040200,24510040200,901.0,34375.0,16596.0,66.0,7.3,1.9,367.0,17.0,29.0,139.0,23.9,378.0,311.0,55.0,26.0,123.0,0.0,0.0,228.0,18.0,872.0,11.0,277.0,510
060100,24510060100,2974.0,48661.0,26555.0,1288.0,43.3,3.2,1457.0,95.0,437.0,351.0,31.3,863.0,1477.0,127.0,669.0,103.0,1138.0,468.0,480.0,776.0,2019.0,179.0,2221.0,510
060200,24510060200,3241.0,72465.0,32023.0,864.0,26.7,4.5,1681.0,145.0,381.0,496.0,31.4,1621.0,1370.0,96.0,430.0,58.0,1574.0,534.0,545.0,836.0,2226.0,179.0,2548.0,510
