State Name,County,Census_Tract,Population,Median Age,Median Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Time spent commuting (minutes),"Number of Employed, age 16+",Unemployment Count,Number of persons age 25+ graduated high school
 Maryland, Baltimore city, 2604.03,1764.0,27.9,31625.0,21744.0,436.0,24.7,1.9,,885.0,34.0,450.0
 Maryland, Baltimore city, 2302,1982.0,30.7,107391.0,63973.0,151.0,7.6,0.9,,1500.0,17.0,72.0
 Maryland, Baltimore city, 2601.02,4775.0,41.3,62586.0,25903.0,469.0,9.8,3.2,,2366.0,151.0,1231.0
 Maryland, Baltimore city, 2603.03,969.0,37.0,17000.0,19562.0,377.0,38.9,2.1,,286.0,20.0,229.0
 Maryland, Baltimore city, 2608,2332.0,36.1,40795.0,26895.0,481.0,20.6,1.6,,1233.0,38.0,394.0
 Maryland, Baltimore city, 2704.01,4892.0,38.9,59886.0,30636.0,453.0,9.3,1.5,,2464.0,73.0,1098.0
 Maryland, Baltimore city, 2804.01,3269.0,48.5,46493.0,31029.0,350.0,10.7,2.0,,1635.0,65.0,571.0
 Maryland, Baltimore city, 2703.02,1887.0,45.4,71500.0,36091.0,303.0,16.1,3.3,,904.0,63.0,416.0
 Maryland, Baltimore city, 2707.02,1912.0,41.8,55285.0,40455.0,144.0,7.5,4.6,,1116.0,87.0,433.0
 Maryland, Baltimore city, 2709.03,5241.0,22.3,49327.0,23229.0,436.0,8.3,4.2,,1969.0,218.0,546.0
 Maryland, Baltimore city, 2711.01,1928.0,45.0,51765.0,38503.0,413.0,21.4,3.5,,934.0,67.0,285.0
 Maryland, Baltimore city, 2718.01,2700.0,47.9,26817.0,22357.0,986.0,36.5,9.4,,986.0,254.0,547.0
 Maryland, Baltimore city, 2602.01,5901.0,35.3,40996.0,22485.0,958.0,16.2,1.3,,2678.0,78.0,967.0
 Maryland, Baltimore city, 2604.01,4148.0,31.1,40281.0,16142.0,947.0,22.8,2.8,,1695.0,117.0,732.0
 Maryland, Baltimore city, 2703.01,3074.0,44.6,77977.0,34343.0,169.0,5.5,1.4,,1554.0,42.0,477.0
 Maryland, Baltimore city, 2708.02,5154.0,37.2,47566.0,24265.0,951.0,18.5,7.4,,2244.0,380.0,998.0
 Maryland, Baltimore city, 2708.04,2990.0,41.0,55750.0,39424.0,386.0,12.9,2.3,,1964.0,70.0,430.0
 Maryland, Baltimore city, 2708.05,5584.0,37.3,58441.0,30218.0,579.0,10.4,5.2,,2781.0,290.0,1210.0
 Maryland, Baltimore city, 2711.02,4597.0,20.5,195156.0,30978.0,18.0,0.4,1.4,,1477.0,65.0,76.0
 Maryland, Baltimore city, 2718.02,2290.0,43.8,33156.0,16899.0,652.0,28.5,3.5,,844.0,80.0,641.0
 Maryland, Baltimore city, 2801.01,3401.0,37.3,45855.0,21093.0,987.0,29.0,5.7,,1473.0,195.0,635.0
 Maryland, Baltimore city, 2804.02,1632.0,42.4,48750.0,23395.0,262.0,16.1,5.2,,662.0,85.0,369.0
 Maryland, Baltimore city, 2804.03,5468.0,36.4,57973.0,34384.0,263.0,4.8,1.7,,3032.0,95.0,783.0
 Maryland, Baltimore city, 2713,2455.0,40.9,154313.0,94818.0,36.0,1.5,0.9,,1554.0,21.0,37.0
 Maryland, Baltimore city, 2501.03,3378.0,45.4,41307.0,27656.0,593.0,17.6,2.6,,1523.0,87.0,854.0
 Maryland, Baltimore city, 2801.02,6231.0,49.7,50798.0,25022.0,1279.0,20.5,4.7,,2170.0,291.0,1114.0
 Maryland, Baltimore city, 1606,3266.0,40.3,43306.0,18999.0,783.0,24.0,2.7,,1307.0,89.0,977.0
 Maryland, Baltimore city, 2401,3320.0,34.1,142328.0,90445.0,103.0,3.1,2.3,,2341.0,77.0,125.0
 Maryland, Baltimore city, 2606.05,4947.0,36.2,41698.0,19493.0,1444.0,29.2,6.1,27465.0,1789.0,300.0,993.0
 Maryland, Baltimore city, 2715.03,876.0,62.8,56490.0,70175.0,38.0,4.3,1.6,,399.0,14.0,66.0
 Maryland, Baltimore city, 1002,2858.0,35.6,16080.0,11586.0,1178.0,41.2,1.9,,666.0,53.0,455.0
 Maryland, Baltimore city, 1508,4719.0,43.3,36446.0,25294.0,1127.0,23.9,5.7,,1754.0,268.0,1244.0
 Maryland, Baltimore city, 1703,1767.0,39.7,20884.0,22335.0,708.0,40.1,4.8,,714.0,85.0,287.0
 Maryland, Baltimore city, 2404,2721.0,30.8,110982.0,53687.0,66.0,2.4,1.4,,1846.0,39.0,258.0
 Maryland, Baltimore city, 2709.02,5091.0,31.3,64028.0,22780.0,323.0,6.3,4.3,,1965.0,218.0,811.0
 Maryland, Baltimore city, 2710.02,4250.0,35.6,40147.0,20655.0,1622.0,38.2,5.6,,1420.0,237.0,696.0
 Maryland, Baltimore city, 2604.02,3315.0,31.4,38934.0,18981.0,913.0,27.5,2.5,,1463.0,83.0,763.0
 Maryland, Baltimore city, 2712,6282.0,42.8,165443.0,72260.0,359.0,5.7,0.6,,3140.0,39.0,481.0
 Maryland, Baltimore city, 2804.04,2631.0,32.2,39233.0,23113.0,613.0,23.3,3.7,,1058.0,97.0,609.0
 Maryland, Baltimore city, 901,3758.0,42.4,44759.0,24633.0,788.0,21.0,6.4,,1771.0,240.0,841.0
 Maryland, Baltimore city, 2003,1356.0,31.2,20820.0,13159.0,707.0,52.1,8.5,2325.0,349.0,115.0,285.0
 Maryland, Baltimore city, 2715.01,4161.0,38.7,104375.0,56716.0,269.0,6.5,2.2,,2110.0,93.0,182.0
 Maryland, Baltimore city, 2502.03,1940.0,34.1,34873.0,19857.0,449.0,23.1,2.7,,700.0,52.0,419.0
 Maryland, Baltimore city, 1102,5968.0,34.5,49970.0,49286.0,1057.0,17.7,3.2,,3993.0,191.0,231.0
 Maryland, Baltimore city, 203,3761.0,34.0,108026.0,83545.0,342.0,9.1,0.9,,2985.0,32.0,180.0
 Maryland, Baltimore city, 1504,3824.0,33.6,31440.0,13692.0,666.0,17.4,5.9,,1399.0,226.0,743.0
